('0400081000', '2204101000', '2206300600', '0', '300.0', '2016-12-11 10:26:14')
('0400081000', '2204101000', '2206300600', '0', '36.0', '2016-12-11 10:38:02')
('0400081000', '2204101000', '2206300600', '0', '89.0', '2016-12-11 10:58:48')
('0400081000', '2205000520', '2206300640', '1', '104.0', '2016-12-11 10:18:15')
('0400081000', '2205000520', '2206300640', '1', '348.0', '2016-12-11 10:36:14')
('0400081000', '2205000560', '2205500060', '0', '0.0', '2016-12-11 10:27:23')
('0400081000', '2205000560', '2205500060', '0', '111.0', '2016-12-11 10:42:32')
('0400081000', '2205200100', '2205200500', '0', '172.0', '2016-12-11 10:36:14')
('0400081000', '2205200100', '2205200500', '0', '208.0', '2016-12-11 10:52:14')
('0400081000', '2205200100', '2205200500', '0', '27.0', '2016-12-11 10:03:44')
('0400081000', '2205200140', '2205200340', '1', '0.0', '2016-12-11 10:48:10')
('0400081000', '2205200140', '2205200340', '1', '52.0', '2016-12-11 10:17:23')
('0400081000', '2205200140', '2205200340', '1', '88.0', '2016-12-11 10:01:12')
('0400081000', '2205200200', '2205200100', '0', '0.0', '2016-12-11 10:03:17')
('0400081000', '2205200200', '2205200100', '0', '36.0', '2016-12-11 10:48:46')
('0400081000', '2205200200', '2205200100', '0', '62.0', '2016-12-11 10:33:22')
('0400081000', '2205200340', '2205400540', '1', '0.0', '2016-12-11 10:00:10')
('0400081000', '2205200340', '2205400540', '1', '0.0', '2016-12-11 10:46:13')
('0400081000', '2205200340', '2205400540', '1', '52.0', '2016-12-11 10:18:15')
('0400081000', '2205200500', '2424300860', '0', '130.0', '2016-12-11 10:05:54')
('0400081000', '2205200500', '2424300860', '0', '60.0', '2016-12-11 10:53:14')
('0400081000', '2205200500', '2424300860', '0', '72.0', '2016-12-11 10:37:26')
('0400081000', '2205200540', '2205200140', '1', '0.0', '2016-12-11 09:59:44')
('0400081000', '2205200540', '2205200140', '1', '113.0', '2016-12-11 10:16:31')
('0400081000', '2205200540', '2205200140', '1', '117.0', '2016-12-11 10:48:10')
('0400081000', '2205300000', '2205300100', '0', '26.0', '2016-12-11 10:00:10')
('0400081000', '2205300000', '2205300100', '0', '50.0', '2016-12-11 10:31:16')
('0400081000', '2205300000', '2205300100', '0', '91.0', '2016-12-11 10:46:13')
('0400081000', '2205300100', '2205400500', '0', '0.0', '2016-12-11 10:31:16')
('0400081000', '2205300100', '2205400500', '0', '0.0', '2016-12-11 10:46:13')
('0400081000', '2205300100', '2205400500', '0', '62.0', '2016-12-11 10:01:12')
('0400081000', '2205400040', '2205400140', '1', '0.0', '2016-12-11 10:50:09')
('0400081000', '2205400040', '2205400140', '1', '108.0', '2016-12-11 10:04:17')
('0400081000', '2205400040', '2205400140', '1', '124.0', '2016-12-11 10:21:14')
('0400081000', '2205400100', '2205300000', '0', '0.0', '2016-12-11 09:59:44')
('0400081000', '2205400100', '2205300000', '0', '0.0', '2016-12-11 10:44:42')
('0400081000', '2205400100', '2205300000', '0', '129.0', '2016-12-11 10:30:26')
('0400081000', '2205400140', '2205400340', '1', '0.0', '2016-12-11 10:04:17')
('0400081000', '2205400140', '2205400340', '1', '0.0', '2016-12-11 10:21:14')
('0400081000', '2205400140', '2205400340', '1', '125.0', '2016-12-11 10:52:14')
('0400081000', '2205400240', '2205400040', '1', '0.0', '2016-12-11 10:19:10')
('0400081000', '2205400240', '2205400040', '1', '176.0', '2016-12-11 10:52:14')
('0400081000', '2205400240', '2205400040', '1', '48.0', '2016-12-11 10:02:29')
('0400081000', '2205400300', '2205400100', '0', '0.0', '2016-12-11 09:59:44')
('0400081000', '2205400300', '2205400100', '0', '0.0', '2016-12-11 10:28:17')
('0400081000', '2205400300', '2205400100', '0', '33.0', '2016-12-11 10:44:42')
('0400081000', '2205400340', '2205500020', '1', '245.0', '2016-12-11 10:08:22')
('0400081000', '2205400340', '2205500020', '1', '251.0', '2016-12-11 10:56:25')
('0400081000', '2205400340', '2205500020', '1', '52.0', '2016-12-11 10:22:06')
('0400081000', '2205400500', '2205200200', '0', '117.0', '2016-12-11 10:48:10')
('0400081000', '2205400500', '2205200200', '0', '125.0', '2016-12-11 10:03:17')
('0400081000', '2205400500', '2205200200', '0', '64.0', '2016-12-11 10:32:20')
('0400081000', '2205400540', '2205400240', '1', '185.0', '2016-12-11 10:49:18')
('0400081000', '2205400540', '2205400240', '1', '55.0', '2016-12-11 10:19:10')
('0400081000', '2205400540', '2205400240', '1', '91.0', '2016-12-11 10:01:41')
('0400081000', '2205500020', '2205500420', '1', '0.0', '2016-12-11 10:56:25')
('0400081000', '2205500020', '2205500420', '1', '124.0', '2016-12-11 10:24:10')
('0400081000', '2205500020', '2205500420', '1', '219.0', '2016-12-11 10:12:01')
('0400081000', '2205500060', '2205400300', '0', '0.0', '2016-12-11 09:59:44')
('0400081000', '2205500060', '2205400300', '0', '54.0', '2016-12-11 10:28:17')
('0400081000', '2205500060', '2205400300', '0', '97.0', '2016-12-11 10:44:09')
('0400081000', '2205500420', '2205000520', '1', '270.0', '2016-12-11 10:16:31')
('0400081000', '2205500420', '2205000520', '1', '376.0', '2016-12-11 10:30:26')
('0400081000', '2205500720', '2206301200', '0', '0.0', '2016-12-11 10:18:15')
('0400081000', '2205500720', '2206301200', '0', '0.0', '2016-12-11 10:32:20')
('0400081000', '2205500720', '2206301200', '0', '60.0', '2016-12-11 10:54:14')
('0400081000', '2206000460', '2366400140', '1', '0.0', '2016-12-11 10:46:13')
('0400081000', '2206000460', '2366400140', '1', '114.0', '2016-12-11 10:08:22')
('0400081000', '2206000460', '2366400140', '1', '32.0', '2016-12-11 10:26:14')
('0400081000', '2206100320', '2206302020', '0', '0.0', '2016-12-11 10:48:10')
('0400081000', '2206100320', '2206302020', '0', '29.0', '2016-12-11 10:24:39')
('0400081000', '2206100320', '2206302020', '0', '83.0', '2016-12-11 10:10:32')
('0400081000', '2206100720', '2206100320', '0', '0.0', '2016-12-11 10:09:09')
('0400081000', '2206100720', '2206100320', '0', '0.0', '2016-12-11 10:24:10')
('0400081000', '2206300120', '2206301820', '0', '0.0', '2016-12-11 10:11:35')
('0400081000', '2206300120', '2206301820', '0', '0.0', '2016-12-11 10:26:14')
('0400081000', '2206300120', '2206301820', '0', '0.0', '2016-12-11 10:48:46')
('0400081000', '2206300160', '2206302060', '1', '0.0', '2016-12-11 10:00:41')
('0400081000', '2206300160', '2206302060', '1', '0.0', '2016-12-11 10:22:06')
('0400081000', '2206300160', '2206302060', '1', '32.0', '2016-12-11 10:40:08')
('0400081000', '2206300360', '2206000460', '1', '124.0', '2016-12-11 10:46:13')
('0400081000', '2206300360', '2206000460', '1', '239.0', '2016-12-11 10:06:28')
('0400081000', '2206300360', '2206000460', '1', '92.0', '2016-12-11 10:25:42')
('0400081000', '2206300600', '2205000560', '0', '123.0', '2016-12-11 10:28:17')
('0400081000', '2206300600', '2205000560', '0', '159.0', '2016-12-11 10:40:41')
('0400081000', '2206300640', '2206301240', '1', '108.0', '2016-12-11 10:38:02')
('0400081000', '2206300640', '2206301240', '1', '88.0', '2016-12-11 10:19:43')
('0400081000', '2206301200', '2206500220', '0', '102.0', '2016-12-11 10:34:02')
('0400081000', '2206301200', '2206500220', '0', '20.0', '2016-12-11 10:18:35')
('0400081000', '2206301200', '2206500220', '0', '248.0', '2016-12-11 10:58:22')
('0400081000', '2206301240', '2206301340', '1', '2327.0', '2016-12-11 10:38:57')
('0400081000', '2206301240', '2206301340', '1', '91.0', '2016-12-11 10:21:14')
('0400081000', '2206301300', '2205500720', '0', '175.0', '2016-12-11 10:32:20')
('0400081000', '2206301300', '2205500720', '0', '185.0', '2016-12-11 10:53:14')
('0400081000', '2206301300', '2205500720', '0', '374.0', '2016-12-11 10:18:15')
('0400081000', '2206301340', '2206301860', '1', '0.0', '2016-12-11 10:21:14')
('0400081000', '2206301340', '2206301860', '1', '0.0', '2016-12-11 10:38:57')
('0400081000', '2206301820', '2206301300', '0', '191.0', '2016-12-11 10:29:25')
('0400081000', '2206301820', '2206301300', '0', '26.0', '2016-12-11 10:12:01')
('0400081000', '2206301820', '2206301300', '0', '83.0', '2016-12-11 10:50:09')
('0400081000', '2206301860', '2206300160', '1', '31.0', '2016-12-11 10:01:12')
('0400081000', '2206301860', '2206300160', '1', '39.0', '2016-12-11 10:39:36')
('0400081000', '2206301860', '2206300160', '1', '52.0', '2016-12-11 10:22:06')
('0400081000', '2206302020', '2206300120', '0', '164.0', '2016-12-11 10:27:23')
('0400081000', '2206302020', '2206300120', '0', '36.0', '2016-12-11 10:48:46')
('0400081000', '2206302020', '2206300120', '0', '63.0', '2016-12-11 10:11:35')
('0400081000', '2206302060', '2206300360', '1', '108.0', '2016-12-11 10:02:29')
('0400081000', '2206302060', '2206300360', '1', '124.0', '2016-12-11 10:24:10')
('0400081000', '2206302060', '2206300360', '1', '241.0', '2016-12-11 10:44:09')
('0400081000', '2206500220', '2204101000', '0', '0.0', '2016-12-11 10:57:19')
('0400081000', '2206500220', '2204101000', '0', '159.0', '2016-12-11 10:21:14')
('0400081000', '2206500220', '2204101000', '0', '204.0', '2016-12-11 10:37:26')
('0400081000', '2366400000', '2206100720', '0', '0.0', '2016-12-11 10:09:09')
